2024-10-16T03:44:04.539Z [info]: Port opened successfully
2024-10-16T03:44:54.690Z [info]: Processed line: 141024B0255
2024-10-16T03:45:13.879Z [info]: Processed line: 141024B0255
2024-10-16T03:47:18.214Z [info]: Processed line: 141024A0117
2024-10-16T03:47:32.851Z [info]: Processed line: 141024A0117
2024-10-16T03:47:36.219Z [info]: Processed line: 141024A0117
2024-10-16T03:47:50.489Z [info]: Processed line: 141024A0117
2024-10-16T03:47:53.741Z [info]: Processed line: 141024A0117
2024-10-16T03:48:08.195Z [info]: Processed line: 141024A0117
2024-10-16T03:48:11.512Z [info]: Processed line: 141024A0117
2024-10-16T03:48:25.999Z [info]: Processed line: 141024A0117
2024-10-16T03:48:29.350Z [info]: Processed line: 141024A0117
2024-10-16T03:48:43.654Z [info]: Processed line: 141024A0117
2024-10-16T03:48:46.972Z [info]: Processed line: 141024A0117
2024-10-16T03:49:01.009Z [info]: Processed line: 141024A0117
2024-10-16T03:49:04.327Z [info]: Processed line: 141024A0117
2024-10-16T03:49:18.164Z [info]: Processed line: 141024A0117
2024-10-16T03:49:21.431Z [info]: Processed line: 141024A0117
2024-10-16T03:49:35.591Z [info]: Processed line: 141024A0117
2024-10-16T03:49:38.853Z [info]: Processed line: 141024A0117
2024-10-16T03:49:53.707Z [info]: Processed line: 141024A0117
2024-10-16T03:49:57.024Z [info]: Processed line: 141024A0117
2024-10-16T03:50:11.129Z [info]: Processed line: 141024A0117
2024-10-16T03:50:14.463Z [info]: Processed line: 141024A0117
2024-10-16T03:50:28.784Z [info]: Processed line: 141024A0117
2024-10-16T03:50:32.118Z [info]: Processed line: 141024A0117
2024-10-16T03:50:46.205Z [info]: Processed line: 141024A0117
2024-10-16T03:50:49.556Z [info]: Processed line: 141024A0117
2024-10-16T03:51:03.464Z [info]: Processed line: 141024A0117
2024-10-16T03:51:06.793Z [info]: Processed line: 141024A0117
2024-10-16T03:51:21.114Z [info]: Processed line: 141024A0117
2024-10-16T03:51:24.481Z [info]: Processed line: 141024A0117
2024-10-16T03:51:38.919Z [info]: Processed line: 141024A0117
2024-10-16T03:51:42.236Z [info]: Processed line: 141024A0117
2024-10-16T03:51:56.690Z [info]: Processed line: 141024A0117
2024-10-16T03:52:00.008Z [info]: Processed line: 141024A0117
2024-10-16T03:52:13.312Z [info]: Processed line: 141024A0117
2024-10-16T03:52:16.596Z [info]: Processed line: 141024A0117
2024-10-16T03:52:30.583Z [info]: Processed line: 141024A0117
2024-10-16T03:52:33.968Z [info]: Processed line: 141024A0117
2024-10-16T03:52:48.505Z [info]: Processed line: 141024A0117
2024-10-16T03:52:51.789Z [info]: Processed line: 141024A0117
2024-10-16T03:53:06.243Z [info]: Processed line: 141024A0117
2024-10-16T03:53:09.561Z [info]: Processed line: 141024A0117
2024-10-16T03:53:23.715Z [info]: Processed line: 141024A0117
2024-10-16T03:53:27.059Z [info]: Processed line: 141024A0117
2024-10-16T03:53:40.727Z [info]: Processed line: 141024A0117
2024-10-16T03:53:44.037Z [info]: Processed line: 141024A0117
2024-10-16T03:53:58.224Z [info]: Processed line: 141024A0117
2024-10-16T03:54:01.559Z [info]: Processed line: 141024A0117
2024-10-16T03:54:15.713Z [info]: Processed line: 141024A0117
2024-10-16T03:54:19.057Z [info]: Processed line: 141024A0117
2024-10-16T03:54:33.651Z [info]: Processed line: 141024A0117
2024-10-16T03:54:36.985Z [info]: Processed line: 141024A0117
2024-10-16T03:54:51.611Z [info]: Processed line: 141024A0117
2024-10-16T03:54:54.907Z [info]: Processed line: 141024A0117
2024-10-16T03:55:09.178Z [info]: Processed line: 141024A0117
2024-10-16T03:55:12.478Z [info]: Processed line: 141024A0117
2024-10-16T03:55:26.149Z [info]: Processed line: 141024A0117
2024-10-16T03:55:29.450Z [info]: Processed line: 141024A0117
2024-10-16T03:55:43.621Z [info]: Processed line: 141024A0117
2024-10-16T03:55:46.972Z [info]: Processed line: 141024A0117
2024-10-16T03:56:01.192Z [info]: Processed line: 141024A0117
2024-10-16T03:56:04.527Z [info]: Processed line: 141024A0117
2024-10-16T03:56:18.614Z [info]: Processed line: 141024A0117
2024-10-16T03:56:21.915Z [info]: Processed line: 141024A0117
2024-10-16T03:56:35.752Z [info]: Processed line: 141024A0117
2024-10-16T03:56:39.019Z [info]: Processed line: 141024A0117
2024-10-16T03:56:53.057Z [info]: Processed line: 141024A0117
2024-10-16T03:56:56.397Z [info]: Processed line: 141024A0117
2024-10-16T03:57:10.645Z [info]: Processed line: 141024A0117
2024-10-16T03:57:13.963Z [info]: Processed line: 141024A0117
2024-10-16T03:57:28.266Z [info]: Processed line: 141024A0117
2024-10-16T03:57:31.567Z [info]: Processed line: 141024A0117
2024-10-16T03:57:46.121Z [info]: Processed line: 141024A0117
2024-10-16T03:57:49.464Z [info]: Processed line: 141024A0117
2024-10-16T03:58:03.850Z [info]: Processed line: NG
2024-10-16T03:58:07.177Z [info]: Processed line: 141024A0117
2024-10-16T03:58:21.464Z [info]: Processed line: 141024A0117
2024-10-16T03:58:24.882Z [info]: Processed line: 141024A0117
2024-10-16T03:58:39.453Z [info]: Processed line: 141024A0117
2024-10-16T03:58:42.805Z [info]: Processed line: 141024A0117
2024-10-16T03:58:57.057Z [info]: Processed line: 141024A0117
2024-10-16T03:59:00.358Z [info]: Processed line: 141024A0117
2024-10-16T03:59:14.445Z [info]: Processed line: 141024A0117
2024-10-16T03:59:17.747Z [info]: Processed line: 141024A0117
2024-10-16T03:59:31.934Z [info]: Processed line: 141024A0117
2024-10-16T03:59:35.218Z [info]: Processed line: 141024A0117
2024-10-16T03:59:49.205Z [info]: Processed line: 141024A0117
2024-10-16T03:59:52.539Z [info]: Processed line: 141024A0117
2024-10-16T04:00:06.910Z [info]: Processed line: 141024A0117
2024-10-16T04:00:10.161Z [info]: Processed line: 141024A0117
2024-10-16T04:00:23.849Z [info]: Processed line: 141024A0117
2024-10-16T04:00:27.166Z [info]: Processed line: 141024A0117
2024-10-16T04:00:41.387Z [info]: Processed line: 141024A0117
2024-10-16T04:00:44.740Z [info]: Processed line: 141024A0117
2024-10-16T04:00:59.008Z [info]: Processed line: 141024A0117
2024-10-16T04:01:02.292Z [info]: Processed line: 141024A0117
2024-10-16T04:01:16.003Z [info]: Processed line: NG
2024-10-16T04:01:19.297Z [info]: Processed line: 141024A0117
2024-10-16T04:01:33.601Z [info]: Processed line: 141024A0117
2024-10-16T04:01:36.919Z [info]: Processed line: 141024A0117
2024-10-16T04:01:50.922Z [info]: Processed line: 141024A0117
2024-10-16T04:01:54.290Z [info]: Processed line: 141024A0117
2024-10-16T04:02:08.694Z [info]: Processed line: 141024A0117
2024-10-16T04:02:11.995Z [info]: Processed line: 141024A0117
2024-10-16T04:02:25.932Z [info]: Processed line: 141024A0117
2024-10-16T04:02:29.216Z [info]: Processed line: 141024A0117
2024-10-16T04:02:43.437Z [info]: Processed line: 141024A0117
2024-10-16T04:02:46.738Z [info]: Processed line: 141024A0117
2024-10-16T04:03:00.658Z [info]: Processed line: 141024A0117
2024-10-16T04:03:03.942Z [info]: Processed line: 141024A0117
2024-10-16T04:03:17.963Z [info]: Processed line: 141024A0117
2024-10-16T04:03:21.231Z [info]: Processed line: 141024A0117
2024-10-16T04:03:36.018Z [info]: Processed line: 141024A0117
2024-10-16T04:03:39.319Z [info]: Processed line: 141024A0117
2024-10-16T04:03:53.506Z [info]: Processed line: 141024A0117
2024-10-16T04:03:56.790Z [info]: Processed line: 141024A0117
2024-10-16T04:04:11.111Z [info]: Processed line: 141024A0117
2024-10-16T04:04:14.412Z [info]: Processed line: 141024A0117
2024-10-16T04:04:28.783Z [info]: Processed line: 141024A0117
2024-10-16T04:04:32.050Z [info]: Processed line: 141024A0117
2024-10-16T04:04:46.321Z [info]: Processed line: 141024A0117
2024-10-16T04:04:49.729Z [info]: Processed line: NG
2024-10-16T04:05:04.009Z [info]: Processed line: 141024A0117
2024-10-16T04:05:07.277Z [info]: Processed line: 141024A0117
2024-10-16T04:05:21.398Z [info]: Processed line: 141024A0117
2024-10-16T04:05:24.648Z [info]: Processed line: 141024A0117
2024-10-16T04:05:38.835Z [info]: Processed line: 141024A0117
2024-10-16T04:05:42.086Z [info]: Processed line: 141024A0117
2024-10-16T04:05:56.140Z [info]: Processed line: 141024A0117
2024-10-16T04:05:59.408Z [info]: Processed line: 141024A0117
2024-10-16T04:06:13.328Z [info]: Processed line: 141024A0117
2024-10-16T04:06:16.629Z [info]: Processed line: 141024A0117
2024-10-16T04:06:30.916Z [info]: Processed line: 141024A0117
2024-10-16T04:06:34.184Z [info]: Processed line: 141024A0117
2024-10-16T04:06:48.137Z [info]: Processed line: 141024A0117
2024-10-16T04:06:51.522Z [info]: Processed line: 141024A0117
2024-10-16T04:07:05.526Z [info]: Processed line: 141024A0117
2024-10-16T04:07:08.860Z [info]: Processed line: 141024A0117
2024-10-16T04:07:22.747Z [info]: Processed line: 141024A0117
2024-10-16T04:07:26.132Z [info]: Processed line: 141024A0117
2024-10-16T04:07:40.569Z [info]: Processed line: 141024A0117
2024-10-16T04:07:43.837Z [info]: Processed line: 141024A0117
2024-10-16T04:07:57.774Z [info]: Processed line: 141024A0117
2024-10-16T04:08:01.091Z [info]: Processed line: 141024A0117
2024-10-16T04:08:14.896Z [info]: Processed line: 141024A0117
2024-10-16T04:08:18.263Z [info]: Processed line: 141024A0117
2024-10-16T04:08:33.234Z [info]: Processed line: 141024A0117
2024-10-16T04:08:36.518Z [info]: Processed line: 141024A0117
2024-10-16T04:08:50.789Z [info]: Processed line: 141024A0117
2024-10-16T04:08:54.090Z [info]: Processed line: 141024A0117
2024-10-16T04:09:08.451Z [info]: Processed line: NG
2024-10-16T04:09:11.711Z [info]: Processed line: 141024A0117
2024-10-16T04:09:26.415Z [info]: Processed line: 141024A0117
2024-10-16T04:09:29.666Z [info]: Processed line: 141024A0117
2024-10-16T04:09:43.578Z [info]: Processed line: 141024A0117
2024-10-16T04:09:46.804Z [info]: Processed line: 141024A0117
2024-10-16T04:10:00.791Z [info]: Processed line: 141024A0117
2024-10-16T04:10:04.042Z [info]: Processed line: 141024A0117
2024-10-16T04:10:18.446Z [info]: Processed line: 141024A0117
2024-10-16T04:10:21.764Z [info]: Processed line: 141024A0117
2024-10-16T04:10:36.485Z [info]: Processed line: 141024A0117
2024-10-16T04:10:39.802Z [info]: Processed line: 141024A0117
2024-10-16T04:10:53.806Z [info]: Processed line: 141024A0117
2024-10-16T04:10:57.124Z [info]: Processed line: 141024A0117
2024-10-16T04:11:10.927Z [info]: Processed line: 141024A0117
2024-10-16T04:11:14.161Z [info]: Processed line: 141024A0117
2024-10-16T04:11:28.581Z [info]: Processed line: 141024A0117
2024-10-16T04:11:31.849Z [info]: Processed line: 141024A0117
2024-10-16T04:11:46.503Z [info]: Processed line: 141024A0117
2024-10-16T04:11:49.837Z [info]: Processed line: 141024A0117
2024-10-16T04:12:03.941Z [info]: Processed line: 141024A0117
2024-10-16T04:12:07.342Z [info]: Processed line: 141024A0117
2024-10-16T04:12:21.347Z [info]: Processed line: 141024A0117
2024-10-16T04:12:24.614Z [info]: Processed line: 141024A0117
2024-10-16T04:12:39.201Z [info]: Processed line: 141024A0117
2024-10-16T04:12:42.486Z [info]: Processed line: 141024A0117
2024-10-16T04:12:56.473Z [info]: Processed line: 141024A0117
2024-10-16T04:12:59.757Z [info]: Processed line: 141024A0117
2024-10-16T04:13:14.311Z [info]: Processed line: 141024A0117
2024-10-16T04:13:17.562Z [info]: Processed line: 141024A0117
2024-10-16T04:13:32.033Z [info]: Processed line: 141024A0117
2024-10-16T04:13:35.251Z [info]: Processed line: 141024A0117
2024-10-16T04:13:49.705Z [info]: Processed line: 141024A0117
2024-10-16T04:13:52.989Z [info]: Processed line: 141024A0117
2024-10-16T04:14:07.427Z [info]: Processed line: 141024A0117
2024-10-16T04:14:10.710Z [info]: Processed line: 141024A0117
2024-10-16T04:14:24.381Z [info]: Processed line: 141024A0117
2024-10-16T04:14:27.665Z [info]: Processed line: 141024A0117
2024-10-16T04:14:42.269Z [info]: Processed line: 141024A0117
2024-10-16T04:14:45.570Z [info]: Processed line: 141024A0117
2024-10-16T04:14:59.341Z [info]: Processed line: 141024A0117
